,Date,Round Number,Round Name,Major Category,Minor Category,Minor Category 2,Notes,Possible Points,Coop,Replay,Alex,Megan,Jenny,Ichigo,Zach,Dan,Debi,Paige,Jeff,Drew,Chris,Dillon,Creator,Link
22,2020-04-08,1,Etymology,Humanities,Grammar and Vocab,,,8,No,No,,3,8,6,4,7,4,,,,6,,Alex,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g831fda129b_13_39
23,2020-04-08,2,"Ready, ""SET"", go! Picture Round",Entertainment,Television,,,10,No,No,5,8,9,6,,5,5,,,,7,,Zach,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g831fda129b_32_77
24,2020-04-08,3,Geography,Geography,,,,10,No,No,8,6,6,6,4,8,,,,,5,,Mom,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g831fda129b_32_77
25,2020-04-08,4,Head to Toes Music Round,Music,,,,8,No,No,2,5,,2,3,3,2,,,,2,,Jenny,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g831fda129b_8_76
26,2020-04-08,5,Greek Philosophers,History,Ancient History,Social Studies,,9,No,No,6,2,3,3,4,2,2,,,,,,Chris,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g731570fc96_7_53
27,2020-04-08,6,Soda Science,Science,Pop Culture,,,9,No,No,6,4,7,3,6,,3,,,,5,,Dad,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g831fda129b_2_45
28,2020-04-08,7,Motivational Movie Speeches Audio Round,Entertainment,Movies,,,8,No,No,8,3,3,,8,6,3,,,,8,,Ichigo,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g731570fc96_2_2
29,2020-04-08,8,Autofill in the Blanks,Misc,,,,8,No,No,6,,7,5,8,8,6,,,,5,,Megan,https://docs.google.com/presentation/d/1XTef95PekQc7H7a-En8MqUpy5uDFc61y2SWHQAYo88k/embed?start=false&slide=id.g831fda129b_19_0
30,2020-04-15,1,Trump or Seuss,Misc,Current Events,,,8,No,No,,8,8,8,8,8,7,,,,8,,Alex,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_2_54
31,2020-04-15,2,Close up childrens books,Humanities,Literature,,,8,No,No,6,,6,6,6,3,2,,,,1,,Megan,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_12_45
32,2020-04-15,3,Who wrote these poems,Humanities,Literature,,,8,No,No,5,3,2,,4,2,3,,,,5,,Ichigo,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_0_5
33,2020-04-15,4,Here Comes the Sun,Music,,,,8,No,No,3.5,3.5,4,1.5,3,,3,,,,3.5,,Dad,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_27_0
34,2020-04-15,5,Famous Scientists,Science,,,,9,No,No,8,4,5,5,6,8,2,,,,,,Chris,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_7_50
35,2020-04-15,6,Super weak trivia,Entertainment,Geek,,,9,No,No,3.5,5,4.5,2.25,,6,1.5,,,,3.75,,Zach,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_17_77
36,2020-04-15,7,April Birthdays,History,Modern History,,,8,No,No,6,8,6,5,7,7,,,,,4,,Mom,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_33_0
37,2020-04-15,8,Science,Science,,,,8,No,No,5,5,,4,4,6,2,,,,3,,Jenny,https://docs.google.com/presentation/d/1131nJ8RZCbjlh-5LMyOwFjWzcLWcIR21ZTgzPO9aD0U/embed?start=false&slide=id.g7fb28f8d1e_22_0
38,2020-04-22,1,Complete the Quote: Calvin and Hobbes,Humanities,Literature,,,8,No,No,7,6,5,4,7,,5,,,,8,,Dad,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g74db4c61ad_16_75
39,2020-04-22,2,Disney,Entertainment,Movies,Animated,,8,No,No,4,6,,4,6,5,5,,,,4,,Jenny,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g83f860dfe7_7_58
40,2020-04-22,3,Unnecessary Redundancies,Word Games,,,,8,No,No,6,,3,7,5,6,5,,,,4,,Megan,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g83f860dfe7_2_45
41,2020-04-22,4,Movie Night Video Round,Entertainment,movies,,,8,No,No,7,5,4,5,,8,4,,,,6,,Zach,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g74db4c61ad_1_45
42,2020-04-22,5,What the Heck does Ichigo do for Work? Random Knowledge,Hodgepodge,,,,9,No,No,8.5,5,5.5,,5.5,6,3,,,,7,,Ichigo,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g83f860dfe7_0_170
43,2020-04-22,6,Library Trivia,Humanities,Literature,,,9,No,No,7,4.5,4,5,7,6,3,,,,,,Chris,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g74db4c61ad_22_45
44,2020-04-22,7,The bottom line,Misc,Family,,,8,No,No,6,8,5,5,7,6,,,,,4,,Mom,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g74db4c61ad_33_0
45,2020-04-22,8,"""Statistics""",Misc,Family,,,8,No,No,,4,7,5,7,6,6,,,,5,,Alex,https://docs.google.com/presentation/d/1ZSMoP4PG8jXmm3IPmT70sTRGp4iEjeypi6EOXip5trg/embed?start=false&slide=id.g74db4c61ad_28_770
46,2020-04-29,1,Absolutely Unrealistic Fantasy (and also Sci-Fi) Weapons Used in Fake War and Adventure,Entertainment,Pop Culture,Warfare,,9,No,No,6,6.75,4.5,3.75,,6.5,3.25,,,,6.5,,Zach,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_33_77
47,2020-04-29,2,Movie Emojis,Entertainment,Movies,,,8,No,No,5,8,,7,8,7,6,,,,5,,Jenny,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_2_55
48,2020-04-29,3,State Coat of Arms,Geography,History,,,8,No,No,1,2,8,2,4,2,2,,,,,,Chris,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_27_45
49,2020-04-29,4,Identify the Best Seller Books by their Cover,Humanities,Literature,,,9,No,No,8,8,6,,7,7,4,,,,7,,Ichigo,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_0_0
50,2020-04-29,5,Combat Sports,Sports,Warfare,,,9,No,No,8,5,8,8,7,,5,,,,6,,Dad,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_17_45
51,2020-04-29,6,Historically Accurate Medieval (and possible Older) Weapons Used in Actual War,History,Ancient History,Warfare,,8,No,No,,5,6,5,7,6,5,,,,7,,Alex,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_7_47
52,2020-04-29,7,Let's Get Crafty!,Misc,,,,8,No,No,4,,8,6,6,6,8,,,,2,,Megan,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_22_45
53,2020-04-29,8,Smiles,Misc,Family,,,8,No,No,8,5,6,6,8,8,,,,,8,,Mom,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_38_0
54,2020-04-29,9,Sports Idols Picture Round,Sports,,,,8,No,No,,,,,,,,,,,,,Dad,https://docs.google.com/presentation/d/1Xd_zAh7KHknDJcg22-KPjBBi3EjguN9q0l_q9BBqXbc/embed?start=false&slide=id.g8464dfc696_12_45
55,2020-05-06,1,Millenials are the Worst,Entertainment,Pop Culture,,,8,No,No,7,,6,5,7,5,4,,,,4,,Megan,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84d2b23a7d_24_45
56,2020-05-06,2,Movie Villains,Entertainment,Movies,,,8,No,No,5,2.5,3,5,5.5,6.5,2,,,,,,Chris,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84c85060c8_2_45
57,2020-05-06,3,Riddle Me This,Word Games,,,,8,No,No,6,8,7,5,,7,2,,,,2,,Zach,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84d2b23a7d_7_77
58,2020-05-06,4,Identify the Instrument and Composer Music Round,Music,History,,,8,No,No,8,7,5,,5.5,6,4.5,,,,8,,Ichigo,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84c85060c8_0_24
59,2020-05-06,5,From the Produce Aisle Picture Round,Food,,,,8,No,No,5,6,6,7,7,5,,,,,5,,Mom,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84d2b23a7d_13_45
60,2020-05-06,6,Animated Oscars,Entertainment,Movies,Animated,,8,No,No,6,5,6,7,7,,2,,,,2,,Dad,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84d2b23a7d_29_0
61,2020-05-06,7,Sad and Depressing Movie Speeches Video Round,Entertainment,Movies,,,8,No,No,,2,3,7,6,6,2,,,,4,,Alex,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84d2b23a7d_2_312
62,2020-05-06,8,Hodgepdoge,Hodgepodge,,,,8,No,No,2,0.5,,3.5,3.5,2.5,2,,,,1,,Jenny,https://docs.google.com/presentation/d/1knYu3DEKMqWRIuTTjXZHhBOaOnMyzibhy5q3HLwCmvU/embed?start=false&slide=id.g84d2b23a7d_18_58
63,2020-05-13,1,Trump or Seuss,Entertainment,Current Events,,,8,No,No,,6,8,8,6,6,6,,,,8,,Alex,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_2_54
64,2020-05-13,2,Word Puzzle Picture Round,Word Games,,,,8,No,No,8,,7,6,7,8,7,,,,7,,Megan,https://docs.google.com/presentation/d/1lSRxuC1CgLfXRzuDBZ9IqD3Lpf0jhVLgAdGY-17m2sQ/embed?start=false&slide=id.g77f62887fc_7_45
